d=10   M=128    ε=0.05  ...  0.4 s
d=10   M=128    ε=0.10  ...  0.4 s
d=10   M=128    ε=1.00  ...  0.4 s
d=10   M=1024   ε=0.05  ...  3.9 s
d=10   M=1024   ε=0.10  ...  3.1 s
d=10   M=1024   ε=1.00  ...  3.2 s
d=10   M=8192   ε=0.05  ...  37.9 s
d=10   M=8192   ε=0.10  ...  30.0 s
d=10   M=8192   ε=1.00  ...  28.7 s
d=30   M=128    ε=0.05  ...  0.7 s
d=30   M=128    ε=0.10  ...  0.5 s
d=30   M=128    ε=1.00  ...  0.5 s
d=30   M=1024   ε=0.05  ...  6.2 s
d=30   M=1024   ε=0.10  ...  5.9 s
d=30   M=1024   ε=1.00  ...  5.9 s
d=30   M=8192   ε=0.05  ...  60.2 s
d=30   M=8192   ε=0.10  ...  59.4 s
d=30   M=8192   ε=1.00  ...  55.3 s
d=100  M=128    ε=0.05  ...  1.2 s
d=100  M=128    ε=0.10  ...  1.2 s
d=100  M=128    ε=1.00  ...  1.2 s
d=100  M=1024   ε=0.05  ...  13.2 s
d=100  M=1024   ε=0.10  ...  12.5 s
d=100  M=1024   ε=1.00  ...  12.4 s
d=100  M=8192   ε=0.05  ...  147.0 s
d=100  M=8192   ε=0.10  ...  172.9 s
d=100  M=8192   ε=1.00  ...  145.8 s

==============================================================================================================
GAUSSIAN SCHRÖDINGER BRIDGE EXPERIMENT RESULTS
Source: N(0,Iᵈ)   Target: N(e₁, AR1(ρ=0.9))   Burn-in: 1000   Meas: 1000   Thin: 10
==============================================================================================================
d    M      ε     fn              gt        mean       std       bias      bias²   variance      MSE       ESS
100  1024   0.10  EZ3     +269691.71777  +21100.59209  13.39055  -248591.12568  61797547767.677292  179.306912  61797547946.984207      3.7
100  1024   1.00  x0y0      +0.56730    +0.29703   0.00681   -0.27027   0.073046   0.000046   0.073092     11.6
100  1024   1.00  x0y1      +0.38978    +0.23785   0.00655   -0.15194   0.023085   0.000043   0.023127     12.7
100  1024   1.00  x1y0      +0.38978    +0.22850   0.00592   -0.16129   0.026013   0.000035   0.026048     33.4
100  1024   1.00  x1y1      +0.50559    +0.30999   0.01162   -0.19560   0.038259   0.000135   0.038394      4.5
100  1024   1.00  EZ       +46.25031   +25.62721   0.10203  -20.62310  425.312286   0.010410  425.322696      4.5
100  1024   1.00  EZ2     +2316.96572  +725.92854   4.60907  -1591.03718  2531399.313333  21.243517  2531420.556851      4.4
100  1024   1.00  EZ3     +125537.79137  +22539.97838  164.30164  -102997.81299  10608549481.158869  26995.029128  10608576476.187996      4.6
100  8192   0.05  x0y0      +0.74742    +0.34016   0.00269   -0.40726   0.165861   0.000007   0.165868      5.5
100  8192   0.05  x0y1      +0.41587    +0.27628   0.00210   -0.13959   0.019486   0.000004   0.019490      5.7
100  8192   0.05  x1y0      +0.41587    +0.27631   0.00179   -0.13956   0.019476   0.000003   0.019479      6.0
100  8192   0.05  x1y1      +0.66981    +0.31743   0.00225   -0.35238   0.124174   0.000005   0.124179      5.4
100  8192   0.05  EZ       +62.55155   +28.39259   0.09608  -34.15896  1166.834341   0.009231  1166.843571      5.5
100  8192   0.05  EZ2     +4112.13251  +886.38191   5.09939  -3225.75060  10405466.921780  26.003756  10405492.925537      5.5
